Time,Starthour,Endhour,Unit,Data
2023-03-19,08:30,08:45,MW,0.00096
2023-03-19,08:45,09:00,MW,5.348
2023-03-19,09:00,09:15,MW,11.836
2023-03-19,09:15,09:30,MW,29.656
2023-03-19,09:30,09:45,MW,32.104
2023-03-19,09:45,10:00,MW,2.236
2023-03-19,10:00,10:15,MW,0
2023-03-19,10:15,10:30,MW,0
2023-03-19,10:30,10:45,MW,0
2023-03-19,10:45,11:00,MW,0
2023-03-19,11:00,11:15,MW,0
2023-03-19,11:15,11:30,MW,0
2023-03-19,11:30,11:45,MW,0
2023-03-19,11:45,12:00,MW,0.000048
2023-03-19,12:00,12:15,MW,0
2023-03-19,12:15,12:30,MW,0
2023-03-19,12:30,12:45,MW,0
2023-03-19,12:45,13:00,MW,0
2023-03-19,13:00,13:15,MW,0
2023-03-19,13:15,13:30,MW,0.000068
2023-03-19,13:30,13:45,MW,0
2023-03-19,13:45,14:00,MW,0
2023-03-19,14:00,14:15,MW,6.748
2023-03-19,14:15,14:30,MW,40.576
2023-03-19,14:30,14:45,MW,74.396
2023-03-19,14:45,15:00,MW,0.000032
2023-03-19,15:00,15:15,MW,7.52
2023-03-19,15:15,15:30,MW,25.9
2023-03-19,15:30,15:45,MW,38.892
2023-03-19,15:45,16:00,MW,8.252
2023-03-19,16:00,16:15,MW,0
2023-03-19,16:15,16:30,MW,12.444
2023-03-19,16:30,16:45,MW,237.736
2023-03-19,16:45,17:00,MW,13.796
2023-03-19,17:00,17:15,MW,25.216
